Brand,RAM_GB,Storage_GB,Battery_mAh,Screen_Size_inch,Rear_Camera_MP,Front_Camera_MP,Rating,Reviews,OS,Has_5G,Price_USD
Realme,8,256,3500,5.5,48,13,4.5,13562,Android,0,550
Vivo,12,128,4500,5.9,13,8,4.1,29658,Android,0,605
OnePlus,4,256,3000,5.2,13,13,4.0,3213,Android,1,675
OnePlus,8,128,5000,6.5,50,16,3.1,65048,Android,0,680
Oppo,8,256,5500,5.2,108,8,4.9,73976,Android,1,695
Apple,4,128,3500,4.7,50,32,3.1,29298,iOS,0,855
Asus,6,128,4500,7.1,64,8,3.0,52999,Android,0,645
Samsung,6,256,4500,5.4,108,32,4.5,68245,Android,0,795
Xiaomi,4,64,4500,5.7,12,13,4.2,43407,Android,0,505
Samsung,12,32,4000,6.1,48,20,4.6,44546,Android,0,670
Oppo,16,128,5500,5.6,64,13,4.2,60178,Android,1,835
Huawei,8,32,5000,6.8,48,8,3.8,46325,Android,1,735
Xiaomi,8,256,5000,5.2,12,32,3.9,31283,Android,0,615
Xiaomi,8,256,6000,5.2,50,8,3.6,8185,Android,0,640
Apple,12,1024,2500,6.0,64,13,3.7,44501,iOS,1,1360
Samsung,6,128,3500,5.5,64,13,4.1,56539,Android,1,770
Realme,3,64,4500,6.1,12,16,3.4,57545,Android,1,585
OnePlus,8,512,3000,6.6,48,20,3.6,55021,Android,1,850
Vivo,8,128,4500,5.5,108,16,3.5,46978,Android,1,700
Motorola,8,128,4500,6.6,12,13,4.2,14197,Android,1,660
Samsung,6,256,4000,6.1,48,13,3.6,46174,Android,0,695
Samsung,6,64,4500,7.2,200,8,3.5,34357,Android,1,810
Huawei,6,64,4000,6.5,13,16,4.7,33608,Android,0,620
Vivo,6,128,3500,6.0,48,16,3.2,4924,Android,1,570
Oppo,8,512,4500,5.0,64,13,3.6,74692,Android,0,770
OnePlus,8,128,4000,5.1,12,8,4.9,62587,Android,0,680
OnePlus,16,128,2500,4.9,48,13,4.9,52759,Android,1,810
Oppo,4,512,5000,5.6,50,16,3.8,70055,Android,1,815
Realme,6,128,4000,6.3,12,20,3.3,14082,Android,1,590
Apple,4,512,5500,6.4,64,13,4.8,18166,iOS,1,1230
Realme,16,128,3500,5.9,13,5,3.1,70634,Android,1,820
Xiaomi,8,32,5500,7.1,50,8,3.6,21021,Android,1,695
Vivo,6,128,3000,7.0,13,20,3.9,417,Android,0,530
Vivo,3,128,4500,5.5,108,8,3.8,18068,Android,1,660
Vivo,3,128,5000,5.3,50,16,5.0,57168,Android,1,595
Realme,3,128,5000,5.4,48,16,4.1,11621,Android,1,560
Samsung,4,128,4500,6.1,64,13,3.2,28554,Android,1,690
Samsung,6,256,4000,7.0,50,16,4.0,44257,Android,0,800
Apple,12,1024,5000,5.6,48,16,3.2,68006,iOS,0,1450
Sony,6,128,3500,6.9,108,8,3.3,46365,Android,1,805
Vivo,4,128,5000,5.5,50,13,4.3,59347,Android,0,620
Samsung,6,128,3000,5.8,50,32,4.8,46346,Android,0,595
Realme,8,128,4500,5.9,48,20,4.2,54806,Android,0,545
Huawei,8,512,4500,7.0,64,20,4.8,65653,Android,0,850
Motorola,4,128,4000,5.4,48,20,4.1,50018,Android,1,605
Samsung,4,128,6000,6.7,50,13,3.9,61883,Android,1,850
Motorola,8,512,5000,5.2,50,5,3.6,12053,Android,0,690
Apple,6,64,6000,5.9,12,16,3.9,31011,iOS,0,890
Samsung,4,64,4500,6.4,13,8,4.8,9472,Android,1,715
Vivo,4,128,4000,6.9,108,16,4.2,31313,Android,1,570
Samsung,3,512,5000,5.8,64,5,4.6,14861,Android,1,860
OnePlus,8,256,4000,6.6,64,13,3.5,39731,Android,1,790
Samsung,4,128,5000,5.7,50,5,4.6,31704,Android,0,695
Samsung,6,128,4500,7.0,50,20,4.9,15384,Android,0,745
Huawei,6,256,3500,5.2,50,5,3.5,6217,Android,0,505
Sony,12,128,4000,6.3,48,32,3.3,35763,Android,1,860
OnePlus,6,64,3000,4.8,64,16,3.1,6621,Android,1,610
Huawei,8,512,5500,5.3,13,20,3.2,62996,Android,1,840
Motorola,4,128,4000,5.8,12,32,3.5,9225,Android,1,590
Xiaomi,8,256,5000,6.3,108,16,3.1,56188,Android,1,820
Apple,8,128,4000,7.0,64,32,4.9,11494,iOS,1,1045
Realme,4,512,6000,6.8,48,16,4.7,65542,Android,1,830
Vivo,12,256,4500,5.8,13,16,4.1,59557,Android,0,740
Realme,2,64,5000,6.8,12,8,3.9,32078,Android,1,535
Realme,2,64,5500,4.7,13,8,3.5,35668,Android,1,570
Realme,6,128,3500,6.4,50,13,4.2,5206,Android,1,670
Apple,4,256,5500,6.7,12,8,4.0,35217,iOS,1,1075
Samsung,8,128,3000,5.6,48,13,4.6,52560,Android,1,780
Oppo,4,128,5000,4.9,64,13,4.5,11694,Android,1,645
Motorola,4,128,4000,5.8,48,13,4.3,68978,Android,0,620
Realme,12,64,4000,6.2,13,8,3.4,11129,Android,0,525
Samsung,12,256,3500,6.1,64,13,4.3,23235,Android,1,810
Samsung,6,256,5000,6.0,108,16,4.8,38783,Android,0,790
Oppo,4,512,4000,6.4,13,8,4.4,55078,Android,0,760
Oppo,6,256,5000,6.1,50,16,4.4,13661,Android,1,705
Realme,4,128,4000,6.0,13,20,4.1,64960,Android,1,635
Apple,3,128,5000,6.1,200,16,4.5,46899,iOS,0,1080
Xiaomi,8,128,4500,5.8,50,16,3.2,3501,Android,0,575
Realme,6,128,4000,6.2,50,20,4.3,45149,Android,0,555
Samsung,8,64,4500,6.5,13,32,3.2,9606,Android,1,615
Samsung,3,128,3500,5.0,64,16,3.8,58317,Android,1,670
Xiaomi,2,256,6000,5.1,48,16,4.4,62791,Android,0,550
Apple,2,64,4500,7.1,108,13,3.7,25497,iOS,1,940
Motorola,6,128,4500,6.6,48,20,3.7,58624,Android,0,690
Samsung,6,256,6000,6.6,48,16,3.3,24443,Android,0,720
Xiaomi,12,512,3000,5.3,64,13,4.8,8044,Android,0,780
Huawei,4,64,5000,6.2,48,16,3.2,41878,Android,0,570
Samsung,8,512,6000,6.9,64,32,3.5,10807,Android,0,815
Vivo,16,256,3500,6.0,13,16,3.2,57320,Android,0,700
Samsung,3,128,2500,6.9,48,13,4.5,79314,Android,0,635
Motorola,6,1024,4000,5.1,13,20,3.5,45316,Android,0,895
Samsung,8,64,4500,6.1,50,5,4.4,5853,Android,1,690
Samsung,8,256,4500,5.2,13,20,4.0,7043,Android,0,645
Vivo,4,128,4500,6.0,13,16,4.5,74343,Android,0,555
Huawei,3,64,5500,6.3,48,5,4.2,4796,Android,1,555
Xiaomi,8,256,4000,7.0,48,16,4.1,48930,Android,1,825
Xiaomi,8,64,4000,5.0,50,8,3.3,70618,Android,0,550
Huawei,8,256,4000,6.1,50,20,4.3,53155,Android,0,720
Oppo,4,64,5500,6.6,13,8,3.6,40959,Android,0,570
Xiaomi,4,64,4000,6.3,13,13,4.4,23390,Android,0,490
Apple,4,512,5000,7.1,13,8,4.6,39783,iOS,0,1145
Xiaomi,6,128,6000,4.8,13,16,3.5,23338,Android,1,625
Apple,3,64,4000,5.7,64,5,4.5,38831,iOS,1,1000
Oppo,8,32,4000,5.1,13,20,4.7,66560,Android,0,610
OnePlus,4,128,5500,6.7,108,5,4.1,29037,Android,1,780
Realme,16,128,4500,5.0,64,16,3.6,78913,Android,0,730
Realme,4,256,3000,5.3,64,20,4.7,36694,Android,0,705
Motorola,8,128,4000,5.1,48,20,4.5,32661,Android,1,605
Nokia,2,64,5000,5.1,48,13,4.0,51974,Android,0,605
Motorola,16,1024,3000,6.7,64,13,3.8,79428,Android,0,1110
Samsung,3,128,4500,6.4,50,20,4.6,70980,Android,1,755
Xiaomi,12,512,5500,6.8,12,16,4.9,1857,Android,1,895
Oppo,6,32,4000,4.8,12,8,4.6,18111,Android,1,565
Xiaomi,8,64,4000,6.5,48,13,4.8,49243,Android,1,655
Realme,12,512,5000,7.0,50,16,3.0,13496,Android,0,810
Asus,8,64,5000,5.4,200,16,3.5,40280,Android,1,725
Samsung,6,128,5000,5.4,48,13,3.2,60016,Android,1,735
Apple,6,128,4500,4.8,50,13,3.5,2828,iOS,1,995
Sony,12,512,6000,7.1,64,32,4.5,41036,Android,0,1070
Xiaomi,16,64,4000,5.7,64,13,4.1,8255,Android,0,725
Xiaomi,6,128,2500,7.2,48,13,4.9,4737,Android,1,695
Nokia,3,256,4500,5.4,48,8,3.2,17476,Android,1,635
Samsung,8,128,4000,5.2,108,16,3.9,32229,Android,1,785
Samsung,6,1024,5000,5.4,108,13,3.3,5749,Android,1,1135
Samsung,3,256,5000,5.4,12,13,3.9,6752,Android,0,615
Asus,12,128,4500,6.0,48,13,3.2,25088,Android,1,710
Samsung,4,128,5000,6.1,48,13,3.5,8085,Android,0,640
Xiaomi,8,256,4500,6.2,64,20,3.8,34139,Android,0,660
Nokia,3,128,4500,6.9,12,8,4.5,2224,Android,0,500
Xiaomi,16,32,4000,4.9,50,13,3.5,2048,Android,1,620
Samsung,8,32,5000,5.9,13,8,4.6,53323,Android,1,690
Xiaomi,4,128,4000,6.1,200,20,3.6,9796,Android,1,665
Samsung,6,256,4000,6.0,48,13,4.8,79035,Android,1,840
Vivo,6,512,5000,6.6,64,16,4.3,67551,Android,0,800
Xiaomi,8,256,4500,5.4,64,16,3.6,18306,Android,1,665
Xiaomi,16,256,5500,5.3,50,16,3.3,31112,Android,0,725
Huawei,12,256,4000,6.7,50,20,3.8,10543,Android,1,805
Motorola,6,128,4000,5.1,48,32,4.6,20348,Android,0,495
Oppo,8,128,5000,6.0,48,13,3.2,36480,Android,0,620
Xiaomi,8,128,5000,5.8,108,16,3.4,63084,Android,1,705
Motorola,8,256,3500,7.2,12,32,4.2,24364,Android,0,595
Nokia,4,256,5500,6.8,108,16,3.3,12631,Android,0,640
Huawei,4,512,4000,6.3,108,16,3.8,35475,Android,0,805
Vivo,8,32,3500,6.9,50,16,4.5,68984,Android,0,645
Oppo,6,1024,4500,5.6,12,16,3.6,21668,Android,0,885
Sony,6,64,3500,7.2,48,20,3.1,38201,Android,0,660
Apple,2,256,4000,7.0,12,16,4.4,42654,iOS,0,985
Apple,2,64,6000,6.1,64,16,4.7,31434,iOS,1,980
Samsung,2,128,5000,5.8,12,13,3.5,58189,Android,0,660
Xiaomi,12,128,4500,6.4,13,5,5.0,46140,Android,1,755
Oppo,6,128,4500,6.7,50,16,3.2,12393,Android,1,580
Samsung,8,512,4500,5.1,108,8,3.3,8094,Android,0,860
Apple,8,128,4500,7.1,50,8,4.5,8589,iOS,1,1085
Xiaomi,12,512,4000,5.8,50,16,3.8,61004,Android,1,880
Asus,8,256,6000,5.9,200,8,3.5,68489,Android,0,845
Sony,6,256,5500,6.5,108,16,4.3,2432,Android,0,745
Samsung,8,64,6000,5.5,64,13,3.5,23819,Android,1,760
Xiaomi,8,64,4500,5.5,12,8,4.4,25890,Android,1,590
OnePlus,8,256,4000,5.2,13,8,3.2,27192,Android,0,660
Vivo,6,512,4000,6.7,13,20,4.3,60769,Android,1,860
Realme,4,256,5500,6.4,50,8,4.0,70548,Android,0,680
Huawei,8,256,4500,6.3,50,16,4.1,53891,Android,1,815
Xiaomi,6,256,5000,5.0,13,20,3.1,22662,Android,1,695
Realme,6,128,2500,6.1,48,13,3.2,42708,Android,1,555
Vivo,8,128,5000,6.4,50,16,4.8,12307,Android,1,635
Samsung,8,256,5000,5.9,50,16,3.8,22308,Android,1,705
Vivo,6,32,4500,4.7,13,13,3.7,63161,Android,0,550
Samsung,6,256,4500,6.2,108,8,4.4,37221,Android,0,815
Apple,12,256,4000,5.6,48,8,4.2,60852,iOS,1,1200
Samsung,6,256,5500,6.5,50,13,4.6,26831,Android,1,785
Apple,8,256,4500,6.7,50,32,3.9,69442,iOS,1,1100
Sony,12,64,4000,7.0,48,13,3.2,42324,Android,1,770
Nokia,4,64,4000,4.9,108,13,4.0,4235,Android,0,510
Apple,6,128,3500,6.0,64,20,4.4,21790,iOS,0,955
Sony,8,64,4500,7.1,108,5,4.7,74969,Android,1,860
Samsung,6,128,4500,5.3,48,13,4.2,50578,Android,0,645
Samsung,16,128,4000,6.2,13,13,3.6,23663,Android,1,835
Xiaomi,8,128,4000,7.1,48,13,3.3,66650,Android,0,605
Samsung,6,256,4000,5.5,64,32,3.9,12000,Android,1,770
Xiaomi,4,256,5000,4.8,13,16,4.2,8619,Android,1,635
Oppo,4,128,5000,6.4,108,32,4.6,49183,Android,1,705
OnePlus,8,256,4000,5.6,48,16,4.1,45656,Android,0,690
OnePlus,8,512,3500,5.7,50,13,4.9,57944,Android,0,850
Asus,8,256,4500,6.8,200,16,5.0,15635,Android,1,835
Oppo,2,128,4000,5.4,12,5,4.9,19434,Android,1,535
Huawei,4,256,3500,5.9,48,13,3.7,60527,Android,1,760
Realme,12,256,4000,6.5,108,20,3.1,41703,Android,1,795
OnePlus,12,512,2500,6.5,12,13,5.0,16319,Android,0,885
Apple,8,1024,4500,4.8,12,13,3.1,73542,iOS,1,1410
Oppo,8,512,3000,5.6,64,13,3.8,74939,Android,1,895
Huawei,3,256,4500,6.0,64,16,3.4,3999,Android,1,705
Oppo,8,256,5000,5.2,12,8,4.5,57315,Android,1,730
Huawei,6,64,5500,6.5,12,16,4.2,6246,Android,1,615
Oppo,8,128,5000,6.6,50,5,4.9,19095,Android,0,600
Apple,8,128,4500,5.7,50,13,3.7,70487,iOS,1,1150
Samsung,12,512,4500,5.8,48,32,3.1,47977,Android,0,810
Apple,4,256,3500,4.7,50,13,4.2,65906,iOS,1,1040
Vivo,4,32,3000,5.2,50,13,4.2,53321,Android,1,530
Xiaomi,6,64,5000,4.7,50,5,4.1,36746,Android,1,605
Realme,4,128,6000,5.2,12,16,4.4,60258,Android,0,525
Xiaomi,12,64,4500,5.7,48,8,4.0,77075,Android,0,770
OnePlus,12,256,5000,6.6,12,13,3.7,10713,Android,1,805
Apple,12,128,4500,6.6,13,13,3.9,48482,iOS,0,1045
Sony,6,256,5000,6.4,48,16,4.8,44451,Android,1,870
Apple,4,32,5500,4.7,48,16,4.6,39622,iOS,1,990
Nokia,4,128,4000,4.8,12,13,3.2,28273,Android,1,545
Xiaomi,8,128,5000,7.1,108,5,3.4,2076,Android,1,625
Apple,4,256,4000,4.9,64,13,3.4,26373,iOS,1,1065
Sony,4,32,5000,5.6,12,5,3.8,3533,Android,1,655
Xiaomi,8,512,4500,7.1,50,13,4.6,16056,Android,0,880
Realme,16,256,4000,5.4,48,32,4.4,47652,Android,0,740
Samsung,8,128,5500,6.9,50,13,3.8,28863,Android,1,820
Sony,2,128,3500,6.8,48,16,4.0,45890,Android,1,710
Samsung,6,256,3500,5.6,200,13,4.1,21384,Android,1,785
Nokia,8,256,4500,7.0,200,20,4.6,18740,Android,1,760
Samsung,3,64,3500,6.4,50,5,3.6,28541,Android,0,615
Apple,8,256,4000,6.3,108,5,3.8,71922,iOS,1,1120
Xiaomi,4,512,4500,5.4,48,20,3.8,38344,Android,1,695
Realme,12,256,4500,5.7,50,13,4.4,67471,Android,0,665
Realme,16,128,5500,6.8,12,5,3.4,48523,Android,0,670
Apple,2,256,5000,6.2,12,8,3.5,36553,iOS,1,1015
Samsung,6,128,4500,6.8,48,5,4.6,73654,Android,1,735
Samsung,6,128,4000,5.8,12,13,4.7,70167,Android,1,775
Samsung,6,64,4000,5.3,64,16,4.8,324,Android,0,615
OnePlus,4,128,3500,6.6,48,8,4.1,62111,Android,1,700
Samsung,6,256,4500,6.2,108,16,3.6,54781,Android,1,810
Huawei,16,512,4000,7.0,48,8,4.7,15993,Android,0,920
Apple,12,128,4000,5.1,13,8,3.5,69944,iOS,1,1120
Samsung,4,512,4500,6.3,50,20,3.8,31013,Android,1,885
Xiaomi,4,64,4500,5.8,13,16,4.1,38279,Android,0,530
Realme,16,128,4500,6.5,13,13,4.5,9125,Android,1,750
Huawei,6,32,5000,5.6,13,13,4.4,12690,Android,0,485
Oppo,12,64,5000,5.2,108,13,4.3,17614,Android,1,670
Apple,8,128,5000,6.6,50,16,4.7,16859,iOS,1,1015
Xiaomi,12,64,5000,6.4,200,13,4.1,39254,Android,0,720
Sony,6,64,2500,4.9,48,20,3.3,20680,Android,0,560
Huawei,6,128,4000,6.4,12,13,3.6,45864,Android,0,670
Xiaomi,12,32,5000,5.3,64,8,4.0,37639,Android,0,640
Realme,4,64,6000,7.1,48,13,3.8,12607,Android,0,540
Xiaomi,4,256,4000,6.8,64,8,3.2,24834,Android,1,670
OnePlus,8,256,4500,6.6,48,16,3.4,31859,Android,1,795
Apple,4,128,5000,4.7,12,5,4.1,39143,iOS,0,910
Xiaomi,8,64,4000,6.1,50,16,3.6,21574,Android,1,645
Vivo,8,128,4000,5.8,50,20,4.2,42730,Android,1,725
Samsung,16,256,4000,6.2,64,13,3.8,55334,Android,1,830
Realme,4,128,3500,5.9,13,13,4.8,15740,Android,1,625
Vivo,8,256,4500,5.1,48,13,4.1,37845,Android,0,675
Asus,12,256,4000,5.3,48,32,4.5,41740,Android,0,750
Realme,6,64,4000,6.1,12,20,4.4,33858,Android,1,580
Vivo,4,512,3500,6.8,108,20,3.2,64802,Android,0,745
Oppo,8,128,5000,4.9,108,20,3.4,63895,Android,1,745
Vivo,4,128,4000,6.0,48,32,4.1,49547,Android,1,650
Sony,8,128,5000,6.6,108,13,3.6,69298,Android,1,865
Samsung,4,64,6000,5.9,13,13,4.5,67390,Android,0,665
Nokia,8,256,6000,6.7,50,13,4.9,53562,Android,0,690
Apple,2,256,5000,5.9,50,32,4.1,17515,iOS,0,970
Samsung,6,32,4500,6.1,50,8,3.1,10764,Android,1,620
Apple,6,128,5000,7.0,108,13,3.5,61822,iOS,1,1140
Oppo,6,64,6000,5.8,13,16,3.7,37514,Android,1,645
Oppo,8,64,4500,5.2,48,13,4.7,49468,Android,1,635
Oppo,4,64,4000,4.8,48,20,4.9,60439,Android,1,635
Vivo,3,128,2500,6.0,13,13,3.4,78637,Android,0,545
Samsung,2,64,4000,7.2,108,8,5.0,49366,Android,1,650
Asus,12,512,4500,6.0,108,20,3.0,79150,Android,1,880
Xiaomi,16,128,3500,5.3,50,16,4.0,14162,Android,0,620
Samsung,6,512,3000,7.0,200,20,3.5,3968,Android,1,920
Apple,6,64,4000,4.9,48,5,5.0,21326,iOS,1,1000
Realme,12,1024,4500,7.2,50,13,4.9,49202,Android,0,1110
Apple,3,512,4000,6.2,48,5,3.5,9830,iOS,0,1075
Oppo,6,64,5000,5.8,64,8,4.7,30305,Android,1,580
Sony,4,64,5000,7.1,48,32,4.9,79082,Android,1,875
Xiaomi,12,32,5000,6.3,48,13,3.8,32488,Android,0,675
Oppo,4,64,3500,6.3,13,13,3.8,50468,Android,1,645
Apple,3,256,5000,6.8,13,32,4.6,39741,iOS,1,1010
Realme,6,64,2500,7.1,64,5,4.3,67647,Android,1,655
Realme,6,256,5000,6.1,64,8,4.0,450,Android,0,620
Xiaomi,4,64,3500,5.1,108,20,3.7,26992,Android,0,470
Xiaomi,3,128,4000,5.0,13,16,4.2,9659,Android,1,550
Realme,4,256,2500,7.0,108,16,4.7,55075,Android,0,720
Realme,4,256,3000,4.9,13,16,3.1,11021,Android,1,540
Huawei,4,128,4500,6.4,64,13,3.4,69794,Android,0,600
Sony,6,1024,4500,5.7,48,13,3.8,71405,Android,0,1080
Apple,4,64,4000,4.9,13,8,3.6,39991,iOS,1,965
Xiaomi,4,128,4500,5.9,48,13,3.0,49138,Android,1,575
Xiaomi,8,128,4500,7.2,13,13,4.2,9589,Android,1,675
Oppo,8,128,3500,6.0,13,20,4.6,3044,Android,1,605
Apple,4,64,2500,6.7,50,20,4.7,49886,iOS,0,960
Vivo,12,128,4000,6.3,50,20,3.4,57497,Android,1,735
Oppo,8,64,4500,5.0,50,13,4.3,70394,Android,1,590
Samsung,6,128,5000,5.5,64,16,3.1,48204,Android,0,675
OnePlus,2,256,5000,5.0,13,20,3.4,5386,Android,1,645
OnePlus,8,256,4000,5.9,48,16,4.7,76955,Android,1,810
Samsung,8,64,5500,6.7,50,32,4.0,47626,Android,1,805
Vivo,8,128,5000,6.0,12,13,3.3,76858,Android,1,690
Vivo,6,1024,3000,5.3,108,8,3.2,78145,Android,0,930
Samsung,3,32,6000,4.7,64,16,3.1,5839,Android,1,590
Samsung,4,64,4500,5.4,64,13,4.6,32920,Android,0,650
Realme,6,128,5000,6.7,12,13,4.1,31124,Android,0,610
Apple,8,64,4000,5.0,48,13,3.2,79835,iOS,1,960
Samsung,6,128,5000,7.1,48,20,3.6,14210,Android,0,600
Samsung,6,128,3500,5.2,12,13,3.9,22517,Android,1,645
Oppo,12,128,5000,6.8,108,13,4.3,48922,Android,1,810
Asus,8,64,3500,6.7,48,13,3.6,28894,Android,1,680
Xiaomi,6,128,4000,7.0,48,16,4.9,12837,Android,1,620
OnePlus,6,128,3500,5.1,48,16,3.8,63748,Android,1,685
